USB2+H08074_1:101,laser on sample,laser off sample,no sample
325.527,334.84,299.59,335.87
325.976,252.92,318.31,277.35
326.425,259.95,280.86,279.69
326.874,355.91,306.61,279.69
327.323,2127.69,2134.57,2198.93
327.772,365.27,484.49,445.87
328.221,402.72,250.44,239.9
328.67,334.84,334.7,326.5
329.119,248.24,294.91,237.56
329.568,278.67,294.91,256.29
330.017,332.5,287.89,305.44
330.465,339.52,306.61,307.78
330.914,295.05,337.04,317.14
331.363,311.44,315.97,188.41
331.811,339.52,353.42,347.57
332.26,288.03,330.02,296.08
332.708,334.84,311.29,244.59
333.157,297.39,297.25,289.06
333.605,288.03,381.51,291.4
334.054,309.1,224.69,209.48
334.502,285.69,304.27,272.67
334.951,313.78,358.1,267.99
335.399,323.14,325.33,314.8
335.847,273.99,337.04,296.08
336.295,259.95,348.74,263.31
336.744,318.46,269.16,282.03
337.192,259.95,308.95,333.53
337.64,271.65,334.7,289.06
338.088,320.8,273.84,317.14
338.536,285.69,327.68,286.72
338.984,285.69,383.85,289.06
339.432,332.5,301.93,324.16
339.88,295.05,290.23,349.91
340.328,285.69,322.99,237.56
340.776,351.23,365.12,263.31
341.223,344.21,318.31,244.59
341.671,344.21,248.1,232.88
342.119,290.37,273.84,279.69
342.566,316.12,322.99,314.8
343.014,271.65,362.78,307.78
343.462,241.22,292.57,328.85
343.909,302.08,322.99,356.93
344.357,259.95,320.65,263.31
344.804,281.01,334.7,256.29
345.252,283.35,189.58,258.63
345.699,323.14,358.1,263.31
346.147,318.46,234.05,352.25
346.594,271.65,294.91,256.29
347.041,271.65,386.19,317.14
347.488,266.97,322.99,310.12
347.936,266.97,257.46,312.46
348.383,259.95,276.18,207.14
348.83,257.61,322.99,305.44
349.277,320.8,344.06,300.76
349.724,346.55,306.61,331.19
350.171,323.14,315.97,305.44
350.618,360.59,217.67,291.4
351.065,327.82,264.48,258.63
351.512,281.01,322.99,286.72
351.959,337.18,285.55,270.33
352.406,355.91,311.29,263.31
352.852,288.03,299.59,267.99
353.299,309.1,259.8,267.99
353.746,365.27,318.31,289.06
354.192,297.39,311.29,335.87
354.639,372.29,304.27,272.67
355.086,269.31,330.02,321.82
355.532,288.03,414.27,265.65
355.979,332.5,301.93,282.03
356.425,311.44,395.55,289.06
356.872,252.92,330.02,272.67
357.318,252.92,311.29,331.19
357.764,311.44,334.7,326.5
358.211,351.23,278.52,331.19
358.657,318.46,334.7,223.52
359.103,332.5,327.68,279.69
359.549,313.78,273.84,225.86
359.995,222.5,320.65,284.38
360.442,285.69,341.72,239.9
360.888,306.76,386.19,328.85
361.334,288.03,339.38,279.69
361.78,266.97,301.93,347.57
362.226,259.95,306.61,307.78
362.672,318.46,229.37,333.53
363.117,292.71,285.55,298.42
363.563,309.1,269.16,298.42
364.009,402.72,306.61,272.67
364.455,292.71,374.49,253.95
364.9,266.97,355.76,335.87
365.346,304.42,210.65,300.76
365.792,351.23,318.31,333.53
366.237,309.1,231.71,317.14
366.683,297.39,325.33,260.97
367.128,276.33,341.72,284.38
367.574,311.44,264.48,354.59
368.019,306.76,285.55,275.01
368.465,353.57,360.44,300.76
368.91,281.01,337.04,282.03
369.355,316.12,332.36,218.84
369.801,313.78,358.1,282.03
370.246,297.39,220.01,258.63
370.691,290.37,257.46,188.41
371.136,323.14,234.05,356.93
371.581,320.8,358.1,298.42
372.026,323.14,358.1,242.25
372.471,302.08,320.65,277.35
372.916,248.24,280.86,333.53
373.361,243.56,334.7,251.61
373.806,276.33,320.65,328.85
374.251,250.58,318.31,256.29
374.696,290.37,308.95,317.14
375.141,351.23,264.48,324.16
375.585,341.86,276.18,349.91
376.03,306.76,224.69,305.44
376.475,365.27,334.7,373.32
376.919,231.86,297.25,296.08
377.364,313.78,376.83,333.53
377.809,281.01,337.04,305.44
378.253,341.86,355.76,321.82
378.697,297.39,304.27,179.05
379.142,299.73,332.36,333.53
379.586,292.71,327.68,218.84
380.031,302.08,339.38,289.06
380.475,290.37,271.5,321.82
380.919,369.95,313.63,300.76
381.363,323.14,259.8,237.56
381.808,288.03,297.25,291.4
382.252,255.26,241.08,249.27
382.696,358.25,252.78,251.61
383.14,297.39,348.74,258.63
383.584,320.8,325.33,361.61
384.028,337.18,273.84,305.44
384.472,351.23,428.32,256.29
384.916,353.57,271.5,270.33
385.36,409.74,360.44,340.55
385.803,238.88,301.93,307.78
386.247,346.55,245.76,256.29
386.691,332.5,334.7,345.23
387.135,250.58,241.08,352.25
387.578,372.29,264.48,305.44
388.022,297.39,320.65,291.4
388.465,288.03,234.05,305.44
388.909,353.57,330.02,305.44
389.352,292.71,339.38,275.01
389.796,292.71,348.74,272.67
390.239,379.31,236.39,284.38
390.683,304.42,315.97,293.74
391.126,283.35,402.57,328.85
391.569,327.82,278.52,307.78
392.012,306.76,369.8,347.57
392.456,297.39,313.63,305.44
392.899,295.05,294.91,324.16
393.342,316.12,273.84,331.19
393.785,318.46,315.97,331.19
394.228,283.35,255.12,328.85
394.671,210.79,306.61,253.95
395.114,325.48,379.17,246.93
395.557,285.69,337.04,260.97
396,304.42,292.57,321.82
396.443,306.76,280.86,286.72
396.885,304.42,301.93,338.21
397.328,313.78,327.68,328.85
397.771,257.61,348.74,356.93
398.214,278.67,360.44,375.66
398.656,325.48,332.36,338.21
399.099,337.18,386.19,263.31
399.541,330.16,252.78,305.44
399.984,304.42,334.7,253.95
400.426,292.71,273.84,291.4
400.869,339.52,351.08,282.03
401.311,316.12,285.55,356.93
401.753,313.78,322.99,328.85
402.196,320.8,285.55,298.42
402.638,292.71,372.15,286.72
403.08,302.08,344.06,267.99
403.522,297.39,297.25,305.44
403.964,306.76,358.1,335.87
404.406,339.52,341.72,284.38
404.849,273.99,294.91,303.1
405.291,358.25,334.7,363.95
405.733,297.39,367.46,300.76
406.174,320.8,358.1,221.18
406.616,360.59,262.14,260.97
407.058,269.31,266.82,296.08
407.5,285.69,304.27,293.74
407.942,337.18,334.7,256.29
408.383,295.05,306.61,321.82
408.825,236.54,322.99,249.27
409.267,306.76,318.31,300.76
409.708,334.84,273.84,338.21
410.15,341.86,301.93,335.87
410.591,332.5,325.33,249.27
411.033,334.84,311.29,359.27
411.474,292.71,337.04,310.12
411.916,266.97,287.89,298.42
412.357,278.67,376.83,326.5
412.798,365.27,290.23,296.08
413.24,264.63,365.12,366.29
413.681,264.63,315.97,326.5
414.122,320.8,280.86,305.44
414.563,325.48,269.16,267.99
415.004,276.33,346.4,279.69
415.445,213.14,301.93,263.31
415.886,304.42,287.89,345.23
416.327,348.89,285.55,242.25
416.768,304.42,306.61,270.33
417.209,341.86,325.33,225.86
417.65,360.59,299.59,289.06
418.091,365.27,332.36,246.93
418.531,269.31,332.36,317.14
418.972,290.37,255.12,352.25
419.413,297.39,276.18,246.93
419.853,297.39,358.1,291.4
420.294,266.97,344.06,314.8
420.735,243.56,257.46,275.01
421.175,304.42,372.15,277.35
421.615,323.14,355.76,270.33
422.056,304.42,311.29,284.38
422.496,316.12,322.99,345.23
422.937,271.65,292.57,368.63
423.377,339.52,278.52,349.91
423.817,306.76,313.63,307.78
424.257,297.39,334.7,307.78
424.698,313.78,332.36,324.16
425.138,351.23,266.82,286.72
425.578,344.21,294.91,303.1
426.018,306.76,297.25,333.53
426.458,273.99,276.18,300.76
426.898,388.68,344.06,328.85
427.338,320.8,327.68,282.03
427.778,327.82,301.93,310.12
428.217,339.52,330.02,296.08
428.657,344.21,341.72,300.76
429.097,323.14,266.82,258.63
429.537,245.9,341.72,275.01
429.976,309.1,320.65,373.32
430.416,365.27,313.63,300.76
430.855,297.39,318.31,317.14
431.295,325.48,285.55,293.74
431.734,339.52,369.8,270.33
432.174,304.42,327.68,326.5
432.613,334.84,402.57,272.67
433.053,334.84,308.95,267.99
433.492,304.42,318.31,307.78
433.931,281.01,418.96,279.69
434.371,323.14,285.55,333.53
434.81,285.69,315.97,331.19
435.249,245.9,348.74,361.61
435.688,243.56,334.7,366.29
436.127,266.97,273.84,282.03
436.566,295.05,402.57,286.72
437.005,323.14,381.51,368.63
437.444,334.84,320.65,331.19
437.883,302.08,297.25,335.87
438.322,372.29,367.46,335.87
438.761,281.01,327.68,345.23
439.199,346.55,308.95,312.46
439.638,334.84,381.51,352.25
440.077,344.21,346.4,333.53
440.515,288.03,325.33,349.91
440.954,325.48,252.78,338.21
441.393,283.35,311.29,291.4
441.831,304.42,304.27,359.27
442.27,264.63,334.7,270.33
442.708,297.39,386.19,267.99
443.146,250.58,365.12,406.08
443.585,295.05,332.36,338.21
444.023,264.63,292.57,347.57
444.461,309.1,308.95,326.5
444.899,316.12,318.31,282.03
445.338,344.21,280.86,356.93
445.776,285.69,360.44,312.46
446.214,292.71,255.12,279.69
446.652,285.69,308.95,293.74
447.09,367.61,355.76,296.08
447.528,348.89,273.84,279.69
447.966,360.59,334.7,373.32
448.404,320.8,355.76,321.82
448.841,309.1,344.06,331.19
449.279,236.54,325.33,338.21
449.717,325.48,367.46,314.8
450.155,325.48,348.74,298.42
450.592,273.99,292.57,328.85
451.03,318.46,346.4,324.16
451.467,297.39,372.15,345.23
451.905,311.44,315.97,263.31
452.343,323.14,241.08,326.5
452.78,288.03,348.74,279.69
453.217,243.56,337.04,265.65
453.655,339.52,383.85,380.34
454.092,332.5,348.74,317.14
454.529,332.5,308.95,368.63
454.966,318.46,376.83,303.1
455.404,276.33,311.29,275.01
455.841,355.91,311.29,361.61
456.278,344.21,367.46,352.25
456.715,269.31,311.29,324.16
457.152,248.24,304.27,312.46
457.589,266.97,362.78,324.16
458.026,259.95,386.19,321.82
458.463,376.97,362.78,399.06
458.9,292.71,407.25,324.16
459.336,360.59,341.72,319.48
459.773,369.95,402.57,366.29
460.21,360.59,322.99,331.19
460.646,318.46,301.93,317.14
461.083,320.8,311.29,321.82
461.52,367.61,395.55,349.91
461.956,353.57,308.95,431.83
462.393,302.08,355.76,356.93
462.829,362.93,341.72,314.8
463.265,358.25,362.78,338.21
463.702,405.06,374.49,338.21
464.138,309.1,348.74,272.67
464.574,348.89,367.46,314.8
465.011,318.46,388.53,326.5
465.447,306.76,341.72,394.38
465.883,430.8,348.74,314.8
466.319,292.71,330.02,352.25
466.755,376.97,379.17,387.36
467.191,398.04,355.76,469.28
467.627,360.59,344.06,347.57
468.063,395.7,322.99,349.91
468.499,351.23,348.74,403.74
468.935,381.65,397.89,387.36
469.37,334.84,379.17,385.02
469.806,372.29,381.51,319.48
470.242,323.14,372.15,370.97
470.678,346.55,297.25,342.89
471.113,313.78,411.93,354.59
471.549,311.44,390.87,378
471.984,316.12,337.04,385.02
472.42,367.61,430.66,345.23
472.855,351.23,322.99,361.61
473.291,358.25,418.96,382.68
473.726,365.27,397.89,361.61
474.161,353.57,379.17,352.25
474.596,295.05,407.25,352.25
475.032,330.16,435.34,310.12
475.467,367.61,395.55,406.08
475.902,376.97,444.7,307.78
476.337,325.48,372.15,408.42
476.772,381.65,386.19,385.02
477.207,344.21,376.83,349.91
477.642,339.52,383.85,392.04
478.077,369.95,423.64,441.19
478.512,379.31,418.96,464.6
478.947,341.86,451.72,361.61
479.381,330.16,353.42,413.1
479.816,395.7,402.57,359.27
480.251,325.48,456.4,422.47
480.686,351.23,416.62,389.7
481.12,320.8,341.72,469.28
481.555,360.59,561.73,541.83
481.989,376.97,461.09,450.55
482.424,369.95,407.25,450.55
482.858,475.28,449.38,438.85
483.292,419.1,512.58,504.39
483.727,400.38,587.47,473.96
484.161,456.55,475.13,595.67
484.595,578.26,753.65,801.63
485.03,781.89,1160.91,1274.42
485.464,1495.75,2118.18,2589.8
485.898,2570.05,3878.27,4841.4
486.332,4166.3,6523.07,7806.86
486.766,6183.84,10118.14,11989.39
487.2,8374.58,14068.96,17405.39
487.634,11461.75,19016.85,23303.54
488.068,14527.85,24343.91,30154.29
488.502,18867.2,30576.76,38470.22
488.935,23290.82,37745.82,46605.92
489.369,28505.53,46787.31,54992.06
489.803,33841.95,53448.47,59577.17
490.236,39910.96,58525.1,63982.05
490.67,45593.78,61537.36,65096.15
491.104,50635.3,63859.18,65096.15
491.537,53214.57,65106.68,65096.15
491.971,53858.21,65106.68,65096.15
492.404,51878.12,64498.14,65096.15
492.838,44357.98,59327.9,64569.53
493.271,31763.56,47360.74,53323.25
493.704,17895.88,26581.46,31099.87
494.137,8594.59,11705.02,13840.76
494.571,3302.64,4657.67,5239.29
495.004,1441.92,1804.55,1976.58
495.437,753.8,961.96,1136.33
495.87,618.05,713.86,710.35
496.303,522.09,631.94,712.69
496.736,491.66,533.64,583.96
497.169,505.7,493.85,523.11
497.602,512.72,528.96,583.96
498.035,419.1,454.06,438.85
498.468,388.68,433,459.92
498.9,400.38,498.53,478.64
499.333,398.04,442.36,483.32
499.766,407.4,381.51,539.49
500.198,407.4,423.64,483.32
500.631,341.86,449.38,459.92
501.064,398.04,362.78,438.85
501.496,381.65,437.68,445.87
501.929,423.78,383.85,403.74
502.361,353.57,348.74,473.96
502.793,414.42,407.25,410.76
503.226,369.95,456.4,422.47
503.658,341.86,444.7,450.55
504.09,316.12,381.51,436.51
504.522,419.1,498.53,436.51
504.955,421.44,437.68,424.81
505.387,348.89,449.38,466.94
505.819,292.71,451.72,443.53
506.251,332.5,397.89,413.1
506.683,290.37,421.3,378
507.115,341.86,423.64,473.96
507.546,327.82,386.19,352.25
507.978,344.21,456.4,422.47
508.41,365.27,404.91,406.08
508.842,346.55,418.96,354.59
509.273,318.46,458.74,389.7
509.705,367.61,428.32,410.76
510.137,400.38,423.64,459.92
510.568,388.68,437.68,448.21
511,405.06,442.36,396.72
511.431,376.97,390.87,504.39
511.863,372.29,402.57,436.51
512.294,393.36,447.04,445.87
512.725,362.93,416.62,406.08
513.157,412.08,404.91,443.53
513.588,388.68,470.45,525.45
514.019,383.99,418.96,520.77
514.45,405.06,440.02,389.7
514.881,376.97,449.38,548.86
515.312,386.33,407.25,488
515.743,320.8,468.11,459.92
516.174,395.7,442.36,499.7
516.605,393.36,484.49,567.58
517.036,388.68,477.47,523.11
517.467,334.84,447.04,509.07
517.898,367.61,421.3,466.94
518.328,456.55,430.66,504.39
518.759,407.4,486.83,541.83
519.19,395.7,449.38,520.77
519.62,402.72,407.25,537.15
520.051,379.31,498.53,520.77
520.481,395.7,472.79,450.55
520.912,435.49,461.09,480.98
521.342,489.32,456.4,586.3
521.773,437.83,472.79,553.54
522.203,327.82,395.55,527.79
522.633,416.76,538.32,516.09
523.064,426.12,489.17,525.45
523.494,383.99,423.64,546.52
523.924,451.87,423.64,628.43
524.354,360.59,477.47,567.58
524.784,376.97,582.79,523.11
525.214,451.87,479.81,562.9
525.644,412.08,454.06,562.9
526.074,430.8,482.15,525.45
526.504,442.51,512.58,502.04
526.934,468.25,512.58,595.67
527.363,461.23,468.11,553.54
527.793,386.33,477.47,546.52
528.223,444.85,566.41,518.43
528.652,414.42,430.66,560.56
529.082,327.82,416.62,583.96
529.512,369.95,512.58,478.64
529.941,398.04,461.09,590.99
530.371,472.93,486.83,621.41
530.8,435.49,535.98,532.47
531.229,421.44,433,499.7
531.659,447.19,475.13,488
532.088,426.12,444.7,488
532.517,468.25,468.11,476.3
532.946,433.15,411.93,569.92
533.375,412.08,456.4,511.41
